"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"07-22-2024 12:00","1721649602","0.945","0.055","0.007"
"07-22-2024 13:00","1721653201","0.945","0.055","0.007"
"07-22-2024 14:00","1721656801","0.945","0.055","0.007"
"07-22-2024 15:00","1721660401","0.945","0.055","0.007"
"07-22-2024 16:00","1721664001","0.945","0.055","0.007"
"07-22-2024 17:00","1721667601","0.945","0.055","0.007"
"07-22-2024 18:00","1721671202","0.945","0.055","0.007"
"07-22-2024 19:00","1721674801","0.945","0.055","0.007"
"07-22-2024 20:00","1721678401","0.945","0.055","0.007"
"07-22-2024 21:00","1721682001","0.945","0.055","0.007"
"07-22-2024 22:00","1721685601","0.945","0.055","0.007"
"07-22-2024 23:00","1721689201","0.945","0.055","0.007"
"07-23-2024 00:00","1721692801","0.945","0.055","0.007"
"07-23-2024 01:00","1721696401","0.945","0.055","0.007"
"07-23-2024 02:00","1721700001","0.945","0.055","0.007"
"07-23-2024 03:00","1721703601","0.945","0.055","0.007"
"07-23-2024 04:00","1721707202","0.945","0.055","0.007"
"07-23-2024 05:00","1721710801","0.945","0.055","0.007"
"07-23-2024 06:00","1721714401","0.945","0.055","0.007"
"07-23-2024 07:00","1721718001","0.945","0.055","0.007"
"07-23-2024 08:00","1721721601","0.945","0.055","0.007"
"07-23-2024 09:00","1721725202","0.945","0.055","0.007"
"07-23-2024 10:00","1721728801","0.945","0.055","0.007"
"07-23-2024 11:00","1721732401","0.945","0.055","0.007"
"07-23-2024 12:00","1721736001","0.945","0.055","0.007"
"07-23-2024 13:00","1721739601","0.945","0.055","0.007"
"07-23-2024 14:00","1721743201","0.945","0.055","0.007"
"07-23-2024 15:00","1721746801","0.945","0.055","0.007"
"07-23-2024 16:00","1721750402","0.945","0.055","0.007"
"07-23-2024 17:00","1721754002","0.945","0.055","0.007"
"07-23-2024 18:00","1721757601","0.945","0.055","0.007"
"07-23-2024 19:00","1721761202","0.945","0.055","0.007"
"07-23-2024 20:00","1721764802","0.945","0.055","0.007"
"07-23-2024 21:00","1721768402","0.945","0.055","0.007"
"07-23-2024 22:00","1721772001","0.945","0.055","0.007"
"07-23-2024 23:00","1721775601","0.945","0.055","0.007"
"07-24-2024 00:00","1721779201","0.945","0.055","0.007"
"07-24-2024 01:00","1721782801","0.945","0.055","0.007"
"07-24-2024 02:00","1721786401","0.945","0.055","0.007"
